Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
110, ,0.01,2.0729217795953697e-08,8.71875247566e+17,5.24345943144e-48,4.35937623783e+17,2.29413201551e+12, , , , 
111, ,0.01,2.221946860939524e-08,1.00174193773e+18,5.24345943144e-48,5.00870968865e+17,3.01353647855e+12, , , , 
112, ,0.01,2.3816855519761606e-08,1.15095240128e+18,5.24345943144e-48,5.75476200642e+17,3.95562401641e+12, , , , 
113, ,0.01,2.5529080682395162e-08,1.32238791262e+18,5.24345943144e-48,6.61193956312e+17,5.18783879984e+12, , , , 
114, ,0.01,2.7364399970746666e-08,1.51935891484e+18,5.24345943144e-48,7.59679457422e+17,6.79729594653e+12, , , , 
115, ,0.01,2.933166278390042e-08,1.74566894485e+18,5.24345943144e-48,8.72834472427e+17,8.89613370399e+12, , , , 
116, ,0.01,3.1440354715915e-08,2.00568808019e+18,5.24345943144e-48,1.00284404009e+18,1.16281241815e+13, , , , 
117, ,0.01,3.370064329271925e-08,2.30443732579e+18,5.24345943144e-48,1.1522186629e+18,1.51767341798e+13, , , , 
118, ,0.01,3.612342699709431e-08,2.64768557034e+18,5.24345943144e-48,1.32384278517e+18,1.97747962658e+13, , , , 
119, ,0.01,3.8720387818125565e-08,3.04206098422e+18,5.24345943144e-48,1.52103049211e+18,2.57158720596e+13, , , , 
120, ,0.01,4.1504047578504727e-08,3.49517901045e+18,5.24345943144e-48,1.74758950523e+18,3.33672381895e+13, , , , 
121, ,0.01,4.448782831127585e-08,4.0157894199e+18,5.24345943144e-48,2.00789470995e+18,4.31841639361e+13, , , , 
122, ,0.01,4.768611697714474e-08,4.61394527053e+18,5.24345943144e-48,2.30697263527e+18,5.5724730428e+13, , , , 
123, ,0.01,5.111433483440165e-08,5.30119703339e+18,5.24345943144e-48,2.65059851669e+18,7.16638056013e+13, , , , 
124, ,0.01,5.478901179593934e-08,6.0908156337e+18,5.24345943144e-48,3.04540781685e+18,9.18038715168e+13, , , , 
125, ,0.01,5.872786613189478e-08,6.99804871429e+18,5.24345943144e-48,3.49902435715e+18,1.17079140098e+14, , , , 
126, ,0.01,6.294988990221888e-08,8.04041506965e+18,5.24345943144e-48,4.02020753482e+18,1.48547756542e+14, , , , 
127, ,0.01,6.747544053110687e-08,9.23804293619e+18,5.24345943144e-48,4.6190214681e+18,1.87364912301e+14, , , , 
128, ,0.01,7.232633896483534e-08,1.06140586713e+19,5.24345943144e-48,5.30702933566e+18,2.347275436e+14, , , , 
129, ,0.01,7.752597488629465e-08,1.21950333265e+19,5.24345943144e-48,6.09751666323e+18,2.91779382482e+14, , , , 
130, ,0.01,8.309941949353386e-08,1.40114957377e+19,5.24345943144e-48,7.00574786887e+18,3.5946422079e+14, , , , 
131, ,0.01,8.907354638610439e-08,1.6098522042e+19,5.24345943144e-48,8.049261021e+18,4.38316599494e+14, , , , 
132, ,0.01,9.547716114208066e-08,1.84964130017e+19,5.24345943144e-48,9.24820650085e+18,5.28184572212e+14, , , , 
