Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
216, ,0.011497569953977356,9.32603346883218e-11,None,None,None,None, , , , 
217, ,0.011497569953977356,1.0722672220103252e-10,None,None,None,None, , , , 
218, ,0.011497569953977356,1.2328467394420634e-10,None,None,None,None, , , , 
219, ,0.011497569953977356,1.4174741629268076e-10,None,None,None,None, , , , 
220, ,0.011497569953977356,1.629750834620647e-10,None,None,None,None, , , , 
221, ,0.011497569953977356,1.8738174228603868e-10,None,None,None,None, , , , 
222, ,0.011497569953977356,2.154434690031887e-10,None,None,None,None, , , , 
223, ,0.011497569953977356,2.477076355991714e-10,None,None,None,None, , , , 
224, ,0.011497569953977356,2.8480358684358053e-10,None,None,None,None, , , , 
225, ,0.011497569953977356,3.274549162877732e-10,None,None,None,None, , , , 
226, ,0.011497569953977356,3.764935806792472e-10,None,None,None,None, , , , 
227, ,0.011497569953977356,4.328761281083062e-10,None,None,None,None, , , , 
228, ,0.011497569953977356,4.977023564332114e-10,None,None,None,None, , , , 
229, ,0.011497569953977356,5.722367659350221e-10,None,None,None,None, , , , 
230, ,0.011497569953977356,6.579332246575682e-10,None,None,None,None, , , , 
231, ,0.011497569953977356,7.564633275546291e-10,None,None,None,None, , , , 
232, ,0.011497569953977356,8.697490026177835e-10,None,None,None,None, , , , 
233, ,0.011497569953977356,1e-09,None,None,None,None, , , , 
234, ,0.011497569953977356,1.1497569953977357e-09,None,None,None,None, , , , 
235, ,0.011497569953977356,1.3219411484660288e-09,None,None,None,None, , , , 
236, ,0.011497569953977356,1.519911082952933e-09,None,None,None,None, , , , 
237, ,0.011497569953977356,1.747528400007683e-09,None,None,None,None, , , , 
238, ,0.011497569953977356,2.009233002565046e-09,None,None,None,None, , , , 
239, ,0.011497569953977356,2.310129700083158e-09,None,None,None,None, , , , 
240, ,0.011497569953977356,2.656087782946684e-09,None,None,None,None, , , , 
241, ,0.011497569953977356,3.0538555088334124e-09,None,None,None,None, , , , 
242, ,0.011497569953977356,3.5111917342151277e-09,None,None,None,None, , , , 
243, ,0.011497569953977356,4.0370172585965495e-09,None,None,None,None, , , , 
244, ,0.011497569953977356,4.641588833612792e-09,None,None,None,None, , , , 
245, ,0.011497569953977356,5.336699231206302e-09,None,None,None,None, , , , 
246, ,0.011497569953977356,6.135907273413188e-09,None,None,None,None, , , , 
247, ,0.011497569953977356,7.054802310718632e-09,None,None,None,None, , , , 
248, ,0.011497569953977356,8.111308307896891e-09,None,None,None,None, , , , 
249, ,0.011497569953977356,9.32603346883218e-09,None,None,None,None, , , , 
250, ,0.011497569953977356,1.0722672220103233e-08,None,None,None,None, , , , 
251, ,0.011497569953977356,1.232846739442066e-08,None,None,None,None, , , , 
252, ,0.011497569953977356,1.4174741629268047e-08,None,None,None,None, , , , 
253, ,0.011497569953977356,1.6297508346206466e-08,None,None,None,None, , , , 
254, ,0.011497569953977356,1.8738174228603867e-08,None,None,None,None, , , , 
255, ,0.011497569953977356,2.1544346900318866e-08,None,None,None,None, , , , 
256, ,0.011497569953977356,2.4770763559917138e-08,None,None,None,None, , , , 
257, ,0.011497569953977356,2.8480358684358055e-08,None,None,None,None, , , , 
258, ,0.011497569953977356,3.274549162877732e-08,None,None,None,None, , , , 
259, ,0.011497569953977356,3.764935806792472e-08,None,None,None,None, , , , 
260, ,0.011497569953977356,4.328761281083061e-08,None,None,None,None, , , , 
261, ,0.011497569953977356,4.9770235643321133e-08,None,None,None,None, , , , 
262, ,0.011497569953977356,5.72236765935022e-08,None,None,None,None, , , , 
263, ,0.011497569953977356,6.579332246575682e-08,None,None,None,None, , , , 
264, ,0.011497569953977356,7.56463327554629e-08,None,None,None,None, , , , 
265, ,0.011497569953977356,8.697490026177834e-08,None,None,None,None, , , , 
266, ,0.011497569953977356,1e-07,None,None,None,None, , , , 
267, ,0.011497569953977356,1.1497569953977356e-07,None,None,None,None, , , , 
268, ,0.011497569953977356,1.3219411484660288e-07,None,None,None,None, , , , 
269, ,0.011497569953977356,1.519911082952933e-07,None,None,None,None, , , , 
270, ,0.011497569953977356,1.7475284000076832e-07,None,None,None,None, , , , 
271, ,0.011497569953977356,2.0092330025650461e-07,None,None,None,None, , , , 
272, ,0.011497569953977356,2.310129700083158e-07,None,None,None,None, , , , 
273, ,0.011497569953977356,2.6560877829466897e-07,None,None,None,None, , , , 
274, ,0.011497569953977356,3.0538555088334193e-07,None,None,None,None, , , , 
275, ,0.011497569953977356,3.511191734215134e-07,None,None,None,None, , , , 
276, ,0.011497569953977356,4.0370172585965576e-07,None,None,None,None, , , , 
277, ,0.011497569953977356,4.6415888336127826e-07,None,None,None,None, , , , 
278, ,0.011497569953977356,5.336699231206313e-07,None,None,None,None, , , , 
279, ,0.011497569953977356,6.135907273413176e-07,None,None,None,None, , , , 
280, ,0.011497569953977356,7.054802310718645e-07,None,None,None,None, , , , 
281, ,0.011497569953977356,8.111308307896872e-07,None,None,None,None, , , , 
282, ,0.011497569953977356,9.326033468832199e-07,None,None,None,None, , , , 
283, ,0.011497569953977356,1.0722672220103232e-06,None,None,None,None, , , , 
284, ,0.011497569953977356,1.232846739442066e-06,None,None,None,None, , , , 
285, ,0.011497569953977356,1.4174741629268047e-06,None,None,None,None, , , , 
286, ,0.011497569953977356,1.629750834620644e-06,None,None,None,None, , , , 
287, ,0.011497569953977356,1.8738174228603833e-06,None,None,None,None, , , , 
288, ,0.011497569953977356,2.1544346900318865e-06,None,None,None,None, , , , 
289, ,0.011497569953977356,2.477076355991714e-06,None,None,None,None, , , , 
290, ,0.011497569953977356,2.848035868435805e-06,None,None,None,None, , , , 
291, ,0.011497569953977356,3.2745491628777315e-06,None,None,None,None, , , , 
292, ,0.011497569953977356,3.764935806792471e-06,None,None,None,None, , , , 
293, ,0.011497569953977356,4.328761281083061e-06,None,None,None,None, , , , 
294, ,0.011497569953977356,4.9770235643321135e-06,None,None,None,None, , , , 
295, ,0.011497569953977356,5.7223676593502195e-06,None,None,None,None, , , , 
296, ,0.011497569953977356,6.579332246575683e-06,None,None,None,None, , , , 
297, ,0.011497569953977356,7.564633275546291e-06,None,None,None,None, , , , 
298, ,0.011497569953977356,8.697490026177835e-06,None,None,None,None, , , , 
299, ,0.011497569953977356,1e-05,None,None,None,None, , , , 
300, ,0.012328467394420659,1.0000000000000001e-11,None,None,None,None, , , , 
301, ,0.012328467394420659,1.1497569953977356e-11,None,None,None,None, , , , 
302, ,0.012328467394420659,1.3219411484660286e-11,None,None,None,None, , , , 
303, ,0.012328467394420659,1.519911082952933e-11,None,None,None,None, , , , 
304, ,0.012328467394420659,1.747528400007683e-11,None,None,None,None, , , , 
305, ,0.012328467394420659,2.0092330025650463e-11,None,None,None,None, , , , 
306, ,0.012328467394420659,2.3101297000831577e-11,None,None,None,None, , , , 
307, ,0.012328467394420659,2.6560877829466842e-11,None,None,None,None, , , , 
308, ,0.012328467394420659,3.0538555088334125e-11,None,None,None,None, , , , 
309, ,0.012328467394420659,3.511191734215128e-11,None,None,None,None, , , , 
310, ,0.012328467394420659,4.03701725859655e-11,None,None,None,None, , , , 
311, ,0.012328467394420659,4.641588833612773e-11,None,None,None,None, , , , 
312, ,0.012328467394420659,5.336699231206302e-11,None,None,None,None, , , , 
313, ,0.012328467394420659,6.135907273413164e-11,None,None,None,None, , , , 
314, ,0.012328467394420659,7.05480231071863e-11,None,None,None,None, , , , 
315, ,0.012328467394420659,8.111308307896889e-11,None,None,None,None, , , , 
316, ,0.012328467394420659,9.32603346883218e-11,None,None,None,None, , , , 
317, ,0.012328467394420659,1.0722672220103252e-10,None,None,None,None, , , , 
318, ,0.012328467394420659,1.2328467394420634e-10,None,None,None,None, , , , 
319, ,0.012328467394420659,1.4174741629268076e-10,None,None,None,None, , , , 
320, ,0.012328467394420659,1.629750834620647e-10,None,None,None,None, , , , 
321, ,0.012328467394420659,1.8738174228603868e-10,None,None,None,None, , , , 
322, ,0.012328467394420659,2.154434690031887e-10,None,None,None,None, , , , 
323, ,0.012328467394420659,2.477076355991714e-10,None,None,None,None, , , , 
324, ,0.012328467394420659,2.8480358684358053e-10,None,None,None,None, , , , 
325, ,0.012328467394420659,3.274549162877732e-10,None,None,None,None, , , , 
326, ,0.012328467394420659,3.764935806792472e-10,None,None,None,None, , , , 
327, ,0.012328467394420659,4.328761281083062e-10,None,None,None,None, , , , 
328, ,0.012328467394420659,4.977023564332114e-10,None,None,None,None, , , , 
329, ,0.012328467394420659,5.722367659350221e-10,None,None,None,None, , , , 
