Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
79, ,0.01,2.409403560239527e-09,1.18104070532e+16,5.24345943144e-48,5.90520352662e+15,433798587.561, , , , 
80, ,0.01,2.582618760682675e-09,1.35695789964e+16,5.24345943144e-48,6.78478949822e+15,572614275.041, , , , 
81, ,0.01,2.768286630392061e-09,1.55907813601e+16,5.24345943144e-48,7.79539068004e+15,755843514.178, , , , 
82, ,0.01,2.9673024081888724e-09,1.79130438374e+16,5.24345943144e-48,8.95652191868e+15,997692371.167, , , , 
83, ,0.01,3.180625692794119e-09,2.05812096333e+16,5.24345943144e-48,1.02906048167e+16,1316908844.64, , , , 
84, ,0.01,3.409285069746807e-09,2.36468013933e+16,5.24345943144e-48,1.18234006966e+16,1738233961.72, , , , 
85, ,0.01,3.654383070957262e-09,2.71690161121e+16,5.24345943144e-48,1.3584508056e+16,2294315956.5, , , , 
86, ,0.01,3.917101490809261e-09,3.12158682361e+16,5.24345943144e-48,1.5607934118e+16,3028235022.16, , , , 
87, ,0.01,4.198707084443906e-09,3.58655030315e+16,5.24345943144e-48,1.79327515158e+16,3996832983.18, , , , 
88, ,0.01,4.500557675700488e-09,4.12077055803e+16,5.24345943144e-48,2.06038527901e+16,5275103862.87, , , , 
89, ,0.01,4.824108704165374e-09,4.73456345419e+16,5.24345943144e-48,2.3672817271e+16,6961982407.27, , , , 
90, ,0.01,5.170920242896755e-09,5.43978141614e+16,5.24345943144e-48,2.71989070807e+16,9187974220.19, , , , 
91, ,0.01,5.542664520663096e-09,6.25004229888e+16,5.24345943144e-48,3.12502114944e+16,12125211168.7, , , , 
92, ,0.01,5.941133984965041e-09,7.18099235051e+16,5.24345943144e-48,3.59049617525e+16,16000699646.0, , , , 
93, ,0.01,6.3682499447185856e-09,8.25060834345e+16,5.24345943144e-48,4.12530417173e+16,21113770331.6, , , , 
94, ,0.01,6.826071834272379e-09,9.47954470836e+16,5.24345943144e-48,4.73977235418e+16,27859054229.1, , , , 
95, ,0.01,7.3168071434271765e-09,1.0891532374e+17,5.24345943144e-48,5.445766187e+16,36756723444.8, , , , 
96, ,0.01,7.842822061337681e-09,1.25138370147e+17,5.24345943144e-48,6.25691850734e+16,48492275945.4, , , , 
97, ,0.01,8.406652885618316e-09,1.43777855542e+17,5.24345943144e-48,7.1888927771e+16,63968849458.9, , , , 
98, ,0.01,9.011018251665036e-09,1.6519371093e+17,5.24345943144e-48,8.25968554648e+16,84375969665.1, , , , 
99, ,0.01,9.658832241158707e-09,1.89799479397e+17,5.24345943144e-48,9.48997396986e+16,111279833614.0, , , , 
100, ,0.01,1.0353218432956616e-08,2.18070301689e+17,5.24345943144e-48,1.09035150844e+17,146741780698.0, , , , 
101, ,0.01,1.1097524964120722e-08,2.50552091236e+17,5.24345943144e-48,1.25276045618e+17,193473610356.0, , , , 
102, ,0.01,1.1895340673703208e-08,2.87872075825e+17,5.24345943144e-48,1.43936037912e+17,255040991882.0, , , , 
103, ,0.01,1.2750512407130128e-08,3.30750909445e+17,5.24345943144e-48,1.65375454722e+17,336129532983.0, , , , 
104, ,0.01,1.3667163564620044e-08,3.8001658822e+17,5.24345943144e-48,1.9000829411e+17,442892317097.0, , , , 
105, ,0.01,1.4649713983072851e-08,4.36620439123e+17,5.24345943144e-48,2.18310219561e+17,583403111884.0, , , , 
106, ,0.01,1.5702901247293774e-08,5.01655490232e+17,5.24345943144e-48,2.50827745116e+17,768246253654.0, , , , 
107, ,0.01,1.683180353330955e-08,5.76377577252e+17,5.24345943144e-48,2.88188788626e+17,1.01128272574e+12, , , , 
108, ,0.01,1.804186409392072e-08,6.62229593869e+17,5.24345943144e-48,3.31114796935e+17,1.33064248714e+12, , , , 
109, ,0.01,1.933891750455232e-08,7.6086935423e+17,5.24345943144e-48,3.80434677115e+17,1.75000598717e+12, , , , 
110, ,0.01,2.0729217795953697e-08,8.74201605554e+17,5.24345943144e-48,4.37100802777e+17,2.30025327237e+12, , , , 
111, ,0.01,2.221946860939524e-08,1.00441480907e+18,5.24345943144e-48,5.02207404533e+17,3.02157726727e+12, , , , 
112, ,0.01,2.3816855519761606e-08,1.15402339948e+18,5.24345943144e-48,5.7701169974e+17,3.9661785052e+12, , , , 
113, ,0.01,2.5529080682395162e-08,1.32591633907e+18,5.24345943144e-48,6.62958169536e+17,5.20168111302e+12, , , , 
114, ,0.01,2.7364399970746666e-08,1.52341290394e+18,5.24345943144e-48,7.61706451971e+17,6.81543265102e+12, , , , 
115, ,0.01,2.933166278390042e-08,1.75032677968e+18,5.24345943144e-48,8.75163389841e+17,8.91987057661e+12, , , , 
116, ,0.01,3.1440354715915e-08,2.01103970417e+18,5.24345943144e-48,1.00551985208e+18,1.16591506152e+13, , , , 
