Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,BranchingRatioFile,Resolution,Kappa0
3078, ,0.4593695057977398,1.5947870582948242e-10,834946.566757,2.50220117673e-45,17.564494464,3.66553488501e-06, , , 
3079, ,0.4593695057977398,1.86324631193156e-10,1139708.58167,2.50220117673e-45,32.7266444702,9.31829411815e-06, , , 
3080, ,0.4593695057977398,2.176896784350988e-10,1555711.11117,2.50220117673e-45,60.976947453,2.36842781683e-05, , , 
3081, ,0.4593695057977398,2.543345761304649e-10,2123557.81148,2.50220117673e-45,113.612905183,6.01840045465e-05, , , 
3082, ,0.4593695057977398,2.9714811046840127e-10,2898672.99032,2.50220117673e-45,211.683314661,0.000152883871959, , , 
3083, ,0.4593695057977398,3.4716868189265595e-10,3956711.26041,2.50220117673e-45,394.404137381,0.000388195685221, , , 
3084, ,0.4593695057977398,4.056094904897649e-10,5400941.7587,2.50220117673e-45,734.836404418,0.000985095313338, , , 
3085, ,0.4593695057977398,4.738879609717651e-10,7372327.66333,2.50220117673e-45,1369.09055905,0.00249774948335, , , 
3086, ,0.4593695057977398,5.536601209276803e-10,10063284.8129,2.50220117673e-45,2550.72238239,0.00632604532994, , , 
3087, ,0.4593695057977398,6.468607661546321e-10,13736462.3291,2.50220117673e-45,4752.03780362,0.015997447261, , , 
3088, ,0.4593695057977398,7.557503872394938e-10,18750378.3135,2.50220117673e-45,8852.72619894,0.040370237199, , , 
3089, ,0.4593695057977398,8.829699955494082e-10,25594412.7736,2.50220117673e-45,16491.0193256,0.101585752912, , , 
3090, ,0.4593695057977398,1.0316051783820818e-09,34936573.2399,2.50220117673e-45,30717.1958171,0.254631965051, , , 
3091, ,0.4593695057977398,1.2052609368708416e-09,47688695.2065,2.50220117673e-45,57209.2118175,0.634869273233, , , 
3092, ,0.4593695057977398,1.4081491217648349e-09,65095441.2408,2.50220117673e-45,106532.619946,1.57146350919, , , 
3093, ,0.4593695057977398,1.6451905877536607e-09,88855785.4643,2.50220117673e-45,198338.416903,3.85143606418, , , 
3094, ,0.4593695057977398,1.9221345439899134e-09,121288840.816,2.50220117673e-45,369151.878694,9.31256915196, , , 
3095, ,0.4593695057977398,2.2456979955397722e-09,165560214.56,2.50220117673e-45,686802.090532,22.1055768426, , , 
3096, ,0.4593695057977398,2.623728657777993e-09,225990985.328,2.50220117673e-45,1277098.04352,51.1675790436, , , 
3097, ,0.4593695057977398,3.065395295056524e-09,308479459.182,2.50220117673e-45,2373004.31596,114.434386949, , , 
3098, ,0.4593695057977398,3.581410100125456e-09,421076869.942,2.50220117673e-45,4404939.94438,244.196000668, , , 
3099, ,0.4593695057977398,4.184288507901576e-09,574773214.627,2.50220117673e-45,8165707.54345,488.770855439, , , 
3100, ,0.4593695057977398,4.8886527451139865e-09,784569924.959,2.50220117673e-45,15109545.1784,896.416610478, , , 
3101, ,0.4593695057977398,5.711586478126423e-09,1070944072.35,2.50220117673e-45,27888994.6958,1459.17251733, , , 
3102, ,0.4593695057977398,6.6730491605731925e-09,1461847019.13,2.50220117673e-45,51305655.1942,2018.38992167, , , 
3103, ,0.4593695057977398,7.79636013040522e-09,1995432593.09,2.50220117673e-45,93962742.6847,2235.81480412, , , 
3104, ,0.4593695057977398,9.108764197647733e-09,2723781067.01,2.50220117673e-45,171064798.675,1829.16437924, , , 
3105, ,0.4593695057977398,1.0642092440647247e-08,3717982419.79,2.50220117673e-45,308996277.604,989.766029894, , , 
