Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,Kappa0
2110, ,3.7275937203149376,1.0481131341546874e-09,649886.714774,1.19725261235e-47,0.0509177625925,3.1099285355e-09, 
2111, ,3.7275937203149376,1.3257113655901108e-09,1039726.92739,1.19725261235e-47,0.130326445305,2.76996519009e-11, 
2112, ,3.7275937203149376,1.6768329368110098e-09,1663416.19079,1.19725261235e-47,0.333576748912,6.23823656874e-15, 
2113, ,3.7275937203149376,2.1209508879201927e-09,2661230.89717,1.19725261235e-47,0.853805537795,3.91252308602e-21, 
2114, ,3.7275937203149376,2.6826957952797275e-09,4257593.45572,1.19725261235e-47,2.18535562988,2.00403500806e-31, 
2115, ,3.7275937203149376,3.393221771895329e-09,6811548.01467,1.19725261235e-47,5.59352016651,2.95949210881e-48, 
2116, ,3.7275937203149376,4.291934260128778e-09,10897514.4853,1.19725261235e-47,14.3168735196,1.50395997249e-75, 
2117, ,3.7275937203149376,5.4286754393238595e-09,17434483.5713,1.19725261235e-47,36.6446853713,1.39145553178e-119, 
2118, ,3.7275937203149376,6.866488450042997e-09,27892710.5634,1.19725261235e-47,93.7936706448,2.13020010223e-190, 
2119, ,3.7275937203149376,8.68511373751352e-09,44624396.2083,1.19725261235e-47,240.068749197,4.64655707051e-304, 
2120, ,3.7275937203149376,1.0985411419875573e-08,71392729.381,1.19725261235e-47,614.464824386,0.0, 
2121, ,3.7275937203149376,1.3894954943731358e-08,114218280.617,1.19725261235e-47,1572.74133828,0.0, 
2122, ,3.7275937203149376,1.7575106248547933e-08,182733112.183,1.19725261235e-47,4025.46249222,0.0, 
2123, ,3.7275937203149376,2.222996482526196e-08,292347162.887,1.19725261235e-47,10303.1826239,0.0, 
2124, ,3.7275937203149376,2.8117686979742307e-08,467714157.697,1.19725261235e-47,26370.746337,0.0, 
2125, ,3.7275937203149376,3.5564803062231293e-08,748276573.474,1.19725261235e-47,67494.1452605,0.0, 
2126, ,3.7275937203149376,4.498432668969443e-08,1197136800.75,1.19725261235e-47,172742.036655,0.0, 
2127, ,3.7275937203149376,5.689866029018303e-08,1915249749.24,1.19725261235e-47,442090.495765,0.0, 
2128, ,3.7275937203149376,7.196856730011529e-08,3064129011.54,1.19725261235e-47,1131342.91901,0.0, 
2129, ,3.7275937203149376,9.102981779915227e-08,4902173517.12,1.19725261235e-47,2894871.37593,0.0, 
2130, ,3.7275937203149376,1.151395399326448e-07,7842785046.38,1.19725261235e-47,7406062.97524,0.0, 
2131, ,3.7275937203149376,1.4563484775012446e-07,12547348042.5,1.19725261235e-47,18941859.7714,0.0, 
2132, ,3.7275937203149376,1.8420699693267165e-07,20073984173.6,1.19725261235e-47,48424083.6758,0.0, 
2133, ,3.7275937203149376,2.329951810515372e-07,32115538617.4,1.19725261235e-47,123704790.575,0.0, 
2134, ,3.7275937203149376,2.947051702551811e-07,51380324492.0,1.19725261235e-47,315653930.165,0.0, 
2135, ,3.7275937203149376,3.727593720314938e-07,82201260154.7,1.19725261235e-47,803968287.852,0.0, 
2136, ,3.7275937203149376,4.7148663634573897e-07,131510402821.0,1.19725261235e-47,2041741950.65,0.0, 
2137, ,3.7275937203149376,5.963623316594636e-07,210398064672.0,1.19725261235e-47,5161323362.1,0.0, 
2138, ,3.7275937203149376,7.543120063354624e-07,336607178354.0,1.19725261235e-47,12953208751.4,0.0, 
2139, ,3.7275937203149376,9.540954763499944e-07,538523929372.0,1.19725261235e-47,32144654405.4,0.0, 
2140, ,3.7275937203149376,1.2067926406393288e-06,861562204122.0,1.19725261235e-47,78410998316.2,0.0, 
2141, ,3.7275937203149376,1.526417967175233e-06,1.37837780475e+12,1.19725261235e-47,186438288299.0,0.0, 
2142, ,3.7275937203149376,1.9306977288832498e-06,2.20520974984e+12,1.19725261235e-47,427356487455.0,0.0, 
2143, ,3.7275937203149376,2.4420530945486497e-06,3.52802404684e+12,1.19725261235e-47,932303942168.0,0.0, 
2144, ,3.7275937203149376,3.088843596477485e-06,5.64434003431e+12,1.19725261235e-47,1.91235635379e+12,0.0, 
2145, ,3.7275937203149376,3.906939937054621e-06,9.03014662031e+12,1.19725261235e-47,3.66236725395e+12,0.0, 
2146, ,3.7275937203149376,4.941713361323839e-06,1.44469588098e+13,1.19725261235e-47,6.56407622156e+12,0.0, 
2147, ,3.7275937203149376,6.250551925273976e-06,2.31130930237e+13,1.19725261235e-47,1.11522403518e+13,0.0, 
2148, ,3.7275937203149376,7.906043210907703e-06,3.6977683411e+13,1.19725261235e-47,1.83012563777e+13,0.0, 
2149, ,3.7275937203149376,1e-05,5.9159069236e+13,1.19725261235e-47,2.95175735128e+13,0.0, 
2150, ,4.291934260128778,1e-10,3366.08701953,2.98020646872e-47,3.40020636815e-06,6.08183624873e-11, 
2151, ,4.291934260128778,1.264855216855296e-10,5385.26366914,2.98020646872e-47,8.70299113931e-06,2.31285556506e-10, 
2152, ,4.291934260128778,1.5998587196060573e-10,8615.66103845,2.98020646872e-47,2.22757228631e-05,8.41372235816e-10, 
2153, ,4.291934260128778,2.0235896477251562e-10,13783.8404375,2.98020646872e-47,5.7015780063e-05,2.85096551029e-09, 
2154, ,4.291934260128778,2.559547922699533e-10,22052.1973137,2.98020646872e-47,0.000145934620938,8.62308570246e-09, 
2155, ,4.291934260128778,3.23745754281764e-10,35280.4001587,2.98020646872e-47,0.000373526653896,2.17474096435e-08, 
2156, ,4.291934260128778,4.09491506238042e-10,56443.6558251,2.98020646872e-47,0.000956059362956,4.10092728281e-08, 
