Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
140, ,0.01701254279852589,1.1937766417144358e-08,3.45189639181e+16,2.8849344295e-48,1.72594819591e+16,87300812315.2, , , , 
141, ,0.01701254279852589,1.701254279852589e-08,7.01051720767e+16,2.8849344295e-48,3.50525860383e+16,348459835984.0, , , , 
142, ,0.01701254279852589,2.4244620170823313e-08,1.42377829287e+17,2.8849344295e-48,7.11889146435e+16,1.34461024926e+12, , , , 
143, ,0.01701254279852589,3.4551072945922184e-08,2.89157642325e+17,2.8849344295e-48,1.44578821163e+17,4.84400292037e+12, , , , 
144, ,0.01701254279852589,4.923882631706741e-08,5.87255351018e+17,2.8849344295e-48,2.93627675509e+17,1.51781382799e+13, , , , 
145, ,0.01701254279852589,7.017038286703835e-08,1.19266724035e+18,2.8849344295e-48,5.96333620176e+17,3.58237838246e+13, , , , 
146, ,0.01701254279852589,1e-07,2.42220891431e+18,2.8849344295e-48,1.21110445715e+18,4.75551254192e+13, , , , 
147, ,0.01701254279852589,1.4251026703029992e-07,4.91930676558e+18,2.8849344295e-48,2.45965338279e+18,1.96174208946e+13, , , , 
148, ,0.01701254279852589,2.0309176209047388e-07,9.99070679285e+18,2.8849344295e-48,4.99535339643e+18,753755853764.0, , , , 
149, ,0.01701254279852589,2.8942661247167523e-07,2.02903024709e+19,2.8849344295e-48,1.01451512354e+19,233472824.05, , , , 
150, ,0.01701254279852589,4.124626382901357e-07,4.12079328216e+19,2.8849344295e-48,2.06039664108e+19,4.04899493768, , , , 
151, ,0.01701254279852589,5.87801607227491e-07,8.36899168885e+19,2.8849344295e-48,4.18449584443e+19,1.62633822661e-16, , , , 
152, ,0.01701254279852589,8.376776400682923e-07,1.69967326901e+20,2.8849344295e-48,8.49836634505e+19,1.89496649007e-50, , , , 
153, ,0.01701254279852589,1.193776641714438e-06,3.45189639181e+20,2.8849344295e-48,1.72594819591e+20,5.33139762284e-120, , , , 
154, ,0.01701254279852589,1.701254279852589e-06,7.01051720767e+20,2.8849344295e-48,3.50525860383e+20,6.92834149552e-262, , , , 
155, ,0.01701254279852589,2.424462017082331e-06,1.42377829287e+21,2.8849344295e-48,7.11889146435e+20,0.0, , , , 
156, ,0.01701254279852589,3.455107294592218e-06,2.89157642325e+21,2.8849344295e-48,1.44578821163e+21,0.0, , , , 
157, ,0.01701254279852589,4.923882631706742e-06,5.87255351018e+21,2.8849344295e-48,2.93627675509e+21,0.0, , , , 
158, ,0.01701254279852589,7.017038286703838e-06,1.19266724035e+22,2.8849344295e-48,5.96333620176e+21,0.0, , , , 
159, ,0.01701254279852589,1e-05,2.42220891431e+22,2.8849344295e-48,1.21110445715e+22,0.0, , , , 
160, ,0.02030917620904736,1.0000000000000001e-11,11926672440.2,6.1212684879e-48,8759165.16034,4.57378757575e-05, , , , 
161, ,0.02030917620904736,1.4251026703029965e-11,24222089217.6,6.1212684879e-48,36091832.7967,0.000382747809366, , , , 
162, ,0.02030917620904736,2.030917620904739e-11,49193067807.1,6.1212684879e-48,148560777.142,0.00319964498158, , , , 
163, ,0.02030917620904736,2.8942661247167522e-11,99907068235.8,6.1212684879e-48,610219972.763,0.0266916803592, , , , 
164, ,0.02030917620904736,4.124626382901348e-11,202903025333.0,6.1212684879e-48,2495896928.18,0.221722302493, , , , 
165, ,0.02030917620904736,5.878016072274922e-11,412079329484.0,6.1212684879e-48,10122207194.4,1.82620484433, , , , 
166, ,0.02030917620904736,8.376776400682924e-11,836899171459.0,6.1212684879e-48,40366777019.5,14.7907505362, , , , 
167, ,0.02030917620904736,1.1937766417144355e-10,1.69967327424e+12,6.1212684879e-48,155853762152.0,115.977782123, , , , 
168, ,0.02030917620904736,1.7012542798525856e-10,3.45189640243e+12,6.1212684879e-48,567149276079.0,857.126999197, , , , 
169, ,0.02030917620904736,2.4244620170823307e-10,7.01051722923e+12,6.1212684879e-48,1.87013344952e+12,5739.9561447, , , , 
170, ,0.02030917620904736,3.455107294592218e-10,1.42377829725e+13,6.1212684879e-48,5.36330536413e+12,33431.236296, , , , 
171, ,0.02030917620904736,4.923882631706752e-10,2.89157643215e+13,6.1212684879e-48,1.31914800441e+13,166989.331678, , , , 
172, ,0.02030917620904736,7.017038286703836e-10,5.87255352824e+13,6.1212684879e-48,2.88271919656e+13,741063.29728, , , , 
173, ,0.02030917620904736,1e-09,1.19266724402e+14,6.1212684879e-48,5.95220327026e+13,3107083.02754, , , , 
174, ,0.02030917620904736,1.4251026703029963e-09,2.42220892176e+14,6.1212684879e-48,1.21101759004e+14,12834393.8259, , , , 
175, ,0.02030917620904736,2.0309176209047387e-09,4.91930678071e+14,6.1212684879e-48,2.45965169643e+14,52905572.8513, , , , 
176, ,0.02030917620904736,2.894266124716752e-09,9.99070682358e+14,6.1212684879e-48,4.99535340721e+14,217920741.971, , , , 
177, ,0.02030917620904736,4.1246263829013485e-09,2.02903025333e+15,6.1212684879e-48,1.01451512667e+15,896374471.927, , , , 
178, ,0.02030917620904736,5.878016072274924e-09,4.12079329484e+15,6.1212684879e-48,2.06039664742e+15,3676628745.44, , , , 
179, ,0.02030917620904736,8.376776400682925e-09,8.36899171459e+15,6.1212684879e-48,4.1844958573e+15,14993768679.6, , , , 
180, ,0.02030917620904736,1.1937766417144358e-08,1.69967327424e+16,6.1212684879e-48,8.49836637119e+15,60436042971.9, , , , 
181, ,0.02030917620904736,1.701254279852589e-08,3.45189640243e+16,6.1212684879e-48,1.72594820121e+16,237888078383.0, , , , 
182, ,0.02030917620904736,2.4244620170823313e-08,7.01051722923e+16,6.1212684879e-48,3.50525861462e+16,892305362028.0, , , , 
183, ,0.02030917620904736,3.4551072945922184e-08,1.42377829725e+17,6.1212684879e-48,7.11889148625e+16,3.03483704473e+12, , , , 
184, ,0.02030917620904736,4.923882631706741e-08,2.89157643215e+17,6.1212684879e-48,1.44578821607e+17,8.46067016124e+12, , , , 
185, ,0.02030917620904736,7.017038286703835e-08,5.87255352824e+17,6.1212684879e-48,2.93627676412e+17,1.57506821286e+13, , , , 
