Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0
80, ,0.012474938559944495,2022996.6831711153, 
81, ,0.012509469585828705,2981102.2363562062, 
82, ,0.012544096194688563,3697887.209747226, 
83, ,0.012578818651100786,1822874.5623324919, 
84, ,0.012613637220374436,11466371.778118204, 
85, ,0.012648552168552958,1556411.5749001135, 
86, ,0.012683563762416231,13092875.263038684, 
87, ,0.012718672269482577,1753015.9909993166, 
88, ,0.012753877958010813,4103804.462207852, 
89, ,0.012789181097002313,2622255.6262590885, 
90, ,0.012824581956203049,2185686.8635485508, 
91, ,0.012860080806105664,5612332.961404421, 
92, ,0.012895677917951532,1619238.5954696282, 
93, ,0.012931373563732822,20797818.116473526, 
94, ,0.01296716801619461,1535211.5642522601, 
95, ,0.013003061548836913,9185694.608961435, 
96, ,0.01303905443591682,1813135.6264025944, 
97, ,0.013075146952450569,3617528.8959665243, 
98, ,0.013111339374215644,2699811.6776348483, 
99, ,0.0131476319777529,2119877.4778656885, 
100, ,0.013184025040368664,5368829.176156324, 
101, ,0.013220518840136844,1610315.3169789729, 
102, ,0.013257113655901088,16283774.374408675, 
103, ,0.013293809767276876,1488134.1937122908, 
104, ,0.013330607454653674,13395246.021268768, 
105, ,0.013367506999197077,1629328.0112860573, 
106, ,0.013404508682850957,4963008.308214808, 
107, ,0.01344161278833961,2107780.0344950845, 
108, ,0.013478819599169923,2693806.5523820207, 
109, ,0.013516129399633552,3285677.829090889, 
110, ,0.013553542474809057,1864603.3162889993, 
111, ,0.013591059110564132,6486447.241821194, 
112, ,0.01362867959355774,1534321.3387846805, 
113, ,0.013666404211242338,17875266.214439966, 
114, ,0.013704233251866052,1446943.721235407, 
115, ,0.013742167004474894,15621446.524486825, 
116, ,0.013780205758914962,1535253.111391257, 
117, ,0.01381834980583465,6235861.858882605, 
118, ,0.013856599436686896,1820450.0147760094, 
119, ,0.013894954943731374,3403821.2687069, 
120, ,0.013933416620036741,2419411.1895605396, 
121, ,0.01397198475948288,2276643.7120255968, 
122, ,0.014010659656763149,3651684.759695204, 
123, ,0.014049441607386614,1755450.7553338143, 
124, ,0.014088330907680332,6426565.260041559, 
125, ,0.014127327854791597,1505972.5862398422, 
126, ,0.01416643274669021,13786017.93335385, 
127, ,0.014205645882170775,1406438.6893442902, 
128, ,0.014244967560854969,29176896.769668918, 
129, ,0.014284398083193813,1410171.0278216712, 
130, ,0.014323937750470004,11741438.742844775, 
131, ,0.014363586864800191,1504401.3074167394, 
132, ,0.01440334572913729,6172091.233330779, 
133, ,0.014443214647272802,1697886.6071539912, 
134, ,0.01448319392383915,3881289.1805080357, 
135, ,0.01452328386431196,2020441.5932500674, 
136, ,0.014563484775012438,2765204.8700486324, 
137, ,0.014603796963109697,2531150.804617113, 
138, ,0.014644220736623106,2156619.2903805245, 
139, ,0.014684756404424638,3338290.547039498, 
140, ,0.01472540427624123,1800113.6995086193, 
141, ,0.014766164662657162,4640916.1161246635, 
142, ,0.01480703787511641,1583171.9424100767, 
143, ,0.014848024225925047,6815231.292855796, 
144, ,0.014889124028253618,1450589.739875983, 
145, ,0.014930337596139532,10597708.30143344, 
146, ,0.014971665244489453,1372844.6847034164, 
147, ,0.015013107289081737,17481514.423596285, 
148, ,0.015054664046568803,1332932.185410545, 
149, ,0.015096335834479587,30584186.462658454, 
150, ,0.015138122971221963,1320322.039632587, 
151, ,0.015180025776085153,23637286.472177595, 
152, ,0.015222044569242182,1327941.0566206644, 
153, ,0.015264179671752334,15349354.944768589, 
154, ,0.015306431405563587,1350554.3487427274, 
155, ,0.015348800093515087,10946938.360448593, 
156, ,0.0153912860593396,1383849.7652065263, 
157, ,0.015433889627666009,8392522.48320147, 
158, ,0.01547661112402176,1423914.3885081464, 
159, ,0.015519450874835397,6810819.730940925, 
160, ,0.015562409207439003,1466961.6574501141, 
161, ,0.015605486450070741,5786107.500941774, 
162, ,0.01564868293187734,1509243.6608832686, 
163, ,0.015691998982916622,5104622.507722365, 
164, ,0.015735434934160016,1547112.5712038875, 
165, ,0.01577899111749509,4649672.335530507, 
166, ,0.015822667865728095,1577198.5889137655, 
167, ,0.015866465512586497,4355134.320497977, 
168, ,0.015910384392721525,1596661.2800867928, 
169, ,0.015954424841710738,4183464.21169803, 
170, ,0.015998587196060586,1603457.4305250794, 
171, ,0.016042871793208964,4114941.0005664425, 
172, ,0.01608727897152783,1596561.7340942742, 
173, ,0.016131809070325753,4142623.8847250333, 
174, ,0.01617646242985051,1576084.294936051, 
175, ,0.01622123939129172,4270739.826418743, 
176, ,0.016266140296783402,1543252.6289890478, 
177, ,0.016311165489406632,4515843.059972218, 
178, ,0.016356315313192125,1500259.864348547, 
179, ,0.016401590113122897,4911291.175575222, 
180, ,0.01644699023513688,1450014.352338979, 
181, ,0.016492516026129576,5517176.967983066, 
182, ,0.016538167833956726,1395848.1449751118, 
183, ,0.01658394600743691,6441058.777712553, 
184, ,0.01662985089635427,1341247.1734998524, 
185, ,0.016675882851461155,7882654.036888212, 
186, ,0.01672204222448082,1289656.2530853427, 
187, ,0.016768329368110086,10237130.151213838, 
188, ,0.01681474463602205,1244394.836001891, 
189, ,0.016861288382868805,14357399.04763679, 
190, ,0.016907960964284104,1208704.53449201, 
