Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0
155, ,0.015348800093515087,14533.106445627167, 
156, ,0.0153912860593396,11824.497366650117, 
157, ,0.015433889627666009,10063.571579908768, 
158, ,0.01547661112402176,8899.947895771715, 
159, ,0.015519450874835397,8142.791655550534, 
160, ,0.015562409207439003,7685.196074317531, 
161, ,0.015605486450070741,7469.073115600805, 
162, ,0.01564868293187734,7468.584789057479, 
163, ,0.015691998982916622,7683.389320650417, 
164, ,0.015735434934160016,8138.527280573179, 
165, ,0.01577899111749509,8890.891720705566, 
166, ,0.015822667865728095,10045.303667503595, 
167, ,0.015866465512586497,11788.593973738243, 
168, ,0.015910384392721525,14462.82443284925, 
169, ,0.015954424841710738,18734.135370679884, 
170, ,0.015998587196060586,26026.73161994198, 
171, ,0.016042871793208964,39819.78772219148, 
172, ,0.01608727897152783,70447.34212108096, 
173, ,0.016131809070325753,159695.79142805035, 
174, ,0.01617646242985051,600814.9997405835, 
175, ,0.01622123939129172,1242130.3940497513, 
176, ,0.016266140296783402,237608.62380620086, 
177, ,0.016311165489406632,90887.16888332243, 
178, ,0.016356315313192125,47573.47359772756, 
179, ,0.016401590113122897,29612.26152390462, 
180, ,0.01644699023513688,20582.235454067628, 
181, ,0.016492516026129576,15459.778977289334, 
182, ,0.016538167833956726,12313.558320085715, 
183, ,0.01658394600743691,10278.427015085035, 
184, ,0.01662985089635427,8922.838931498542, 
185, ,0.016675882851461155,8014.5878664968395, 
186, ,0.01672204222448082,7422.620668477496, 
187, ,0.016768329368110086,7072.036356860388, 
188, ,0.01681474463602205,6922.323462530621, 
189, ,0.016861288382868805,6956.942863913846, 
190, ,0.016907960964284104,7179.362294870587, 
191, ,0.01695476273688614,7613.845039737632, 
192, ,0.017001694058280212,8311.317835375186, 
193, ,0.017048755287061488,9362.88227431641, 
194, ,0.017095946782817742,10927.600261764233, 
195, ,0.017143268906132082,13290.690919961067, 
196, ,0.017190722018585746,16993.902697979625, 
197, ,0.01723830648276083,23158.522953807824, 
198, ,0.017286022662243064,34404.26375016414, 
199, ,0.01733387092162459,58020.258322907815, 
200, ,0.017381851626506784,120552.35194196975, 
201, ,0.017429965143502982,375830.46946423996, 
202, ,0.017478211840241332,2928367.604248364, 
203, ,0.017526592085367585,362475.8276426756, 
204, ,0.017575106248547922,117517.0221908734, 
